,Age,Female_prop,Male_prop,Asian_prop,Black_prop,Latino_prop,Multi_prop,Other_prop,White_prop,Afraid,Angry,Attractive,Babyface,Disgusted,Dominant,Feminine,Happy,Masculine,Prototypic,Sad,Surprised,Threatening,Trustworthy,Unusual
AF-200,32.57142857,1,0,1,0,0,0,0,0,2.035714286,1.571428571,4.111111111,2.857142857,1.392857143,1.928571429,5.62962963,2.928571429,1.357142857,3.659574468,1.892857143,2.821428571,1.321428571,3.925925926,2.518518519
AF-201,23.66666667,1,0,0.962962963,0,0,0.037037037,0,0,1.814814815,3.111111111,3.111111111,2.481481481,2.592592593,2.111111111,4.111111111,1.555555556,1.666666667,3.893617021,3.96,1.37037037,1.851851852,3.538461538,2.038461538
AF-202,24.44827586,0.827586207,0.172413793,0.310344828,0.068965517,0.137931034,0.448275862,0.034482759,0,1.464285714,1.862068966,3,2.344827586,1.551724138,2.862068966,3.206896552,2.379310345,3,1.808510638,1.931034483,1.551724138,2.034482759,3.379310345,2.413793103
AF-203,22.75862069,1,0,0.75862069,0,0.068965517,0.172413793,0,0,2.586206897,1.655172414,3.275862069,3.862068966,1.620689655,1.75,5,2.571428571,1.724137931,2.531914894,2.344827586,1.931034483,1.178571429,3.793103448,2.24137931
AF-204,30.13793103,1,0,0.827586207,0,0.068965517,0.103448276,0,0,2.551724138,1.586206897,3.172413793,2.068965517,1.655172414,1.75862069,4.62962963,1.275862069,1.482758621,2.574468085,3.517241379,1.137931034,1.206896552,3.310344828,1.517241379
AF-205,26.59259259,1,0,0.846153846,0,0,0.153846154,0,0,2.148148148,1.807692308,4.333333333,2.148148148,2.111111111,1.925925926,5.076923077,2,1.37037037,3.565217391,2.888888889,1.777777778,1.423076923,3.518518519,2
AF-206,26.52380952,0.857142857,0.142857143,1,0,0,0,0,0,1.80952381,2.619047619,2.714285714,2.238095238,2.285714286,2.857142857,3.761904762,1.666666667,2.428571429,3.782608696,2.619047619,1.380952381,2.047619048,3.428571429,1.952380952
AF-207,28.4137931,1,0,0.035714286,0.428571429,0.035714286,0.357142857,0.107142857,0.035714286,1.620689655,3.827586207,2.137931034,2.551724138,3.034482759,3.896551724,3.482758621,1.620689655,2.655172414,1.446808511,2.275862069,1.517241379,3.206896552,2.862068966,3.034482759
AF-208,28.53846154,1,0,0.230769231,0.115384615,0.384615385,0.230769231,0.038461538,0,2,2.846153846,3.038461538,2.653846154,2.115384615,3.461538462,3.576923077,1.653846154,2.115384615,1.553191489,2.769230769,1.615384615,2.32,3.192307692,2.307692308
AF-209,22.56,1,0,0.08,0.08,0.4,0.32,0.12,0,1.36,1.64,4.08,3.28,1.6,2.4,4.84,3.083333333,1.869565217,1.723404255,2.32,1.44,1.36,3.88,2.4
AF-210,23.53846154,1,0,0.384615385,0,0.192307692,0.230769231,0.192307692,0,1.653846154,1.884615385,2.615384615,3.307692308,1.576923077,2.038461538,4,2.153846154,1.6,1.936170213,2.923076923,1.307692308,1.384615385,3.653846154,2
AF-211,22.5,0.923076923,0.076923077,1,0,0,0,0,0,1.923076923,1.615384615,3.307692308,2.5,1.576923077,1.461538462,4.115384615,1.653846154,1.730769231,3.723404255,3.12,1.269230769,1.269230769,3.923076923,1.615384615
AF-212,23.85714286,1,0,0.928571429,0,0,0.035714286,0.035714286,0,2.392857143,2.071428571,2.607142857,2.75,1.814814815,2.035714286,4.785714286,2.25,1.535714286,3,2.464285714,2.107142857,1.678571429,3.037037037,3.535714286
AF-213,40.18181818,1,0,0.956521739,0,0,0.043478261,0,0,1.652173913,1.909090909,3,2.347826087,2.391304348,2.217391304,5.090909091,2.608695652,1.363636364,3.829787234,2.304347826,1.434782609,1.52173913,3.652173913,2.260869565
AF-214,26.84615385,1,0,1,0,0,0,0,0,2.038461538,2.5,3.730769231,3.153846154,2.08,2.384615385,5.08,2.32,1.730769231,3.787234043,2.230769231,1.576923077,1.923076923,3.923076923,2.653846154
AF-215,30.44444444,1,0,1,0,0,0,0,0,2.111111111,3.074074074,2.814814815,2.703703704,2.423076923,2.555555556,4.296296296,1.518518519,1.925925926,3.723404255,3.115384615,1.296296296,2.333333333,3.37037037,2.222222222
AF-216,25.93333333,1,0,0.933333333,0,0.033333333,0.033333333,0,0,2.103448276,2.266666667,3.266666667,3.1,1.866666667,1.9,4.666666667,1.966666667,1.7,3.276595745,2.066666667,1.733333333,1.733333333,3.9,1.533333333
AF-217,19.70833333,1,0,0.208333333,0,0.208333333,0.375,0,0.208333333,1.875,1.333333333,3.833333333,4.125,1.695652174,1.739130435,4.833333333,2.583333333,1.416666667,1.510638298,2.782608696,1.666666667,1.333333333,3.5,2.125
AF-218,24.03571429,1,0,0.857142857,0,0.035714286,0.107142857,0,0,1.642857143,1.678571429,4.678571429,3.142857143,1.607142857,2.321428571,5.714285714,2.857142857,1.321428571,3.106382979,1.607142857,1.5,1.571428571,4.25,1.785714286
AF-219,25.10714286,1,0,0.821428571,0,0,0.178571429,0,0,1.392857143,1.571428571,2.928571429,3.214285714,1.464285714,1.607142857,4.964285714,1.892857143,1.357142857,2.85106383,2.464285714,1.37037037,1.285714286,3.571428571,1.857142857
AF-220,25.26086957,1,0,0.739130435,0,0.086956522,0.130434783,0.043478261,0,2.173913043,2.043478261,3.173913043,3.826086957,1.913043478,2.695652174,4.565217391,3.130434783,2.217391304,2.739130435,2.47826087,2.52173913,2.434782609,3.826086957,2.826086957
AF-221,25.62962963,1,0,0.666666667,0,0.222222222,0.111111111,0,0,1.62962963,1.592592593,3,3.222222222,1.5,2.230769231,4.074074074,3.444444444,2.407407407,2.043478261,1.730769231,1.769230769,1.481481481,3.814814815,2
AF-222,24.86206897,1,0,0.827586207,0.034482759,0.034482759,0.068965517,0.034482759,0,2.275862069,2.206896552,3.689655172,2.827586207,2.413793103,2.344827586,4.551724138,2.103448276,1.827586207,2.782608696,2.275862069,1.689655172,2.103448276,3.965517241,2.655172414
AF-223,44.80769231,1,0,0.814814815,0,0,0.148148148,0.037037037,0,2,1.777777778,3.185185185,1.518518519,1.666666667,2.407407407,4.692307692,1.846153846,1.37037037,3.595744681,2.538461538,1.730769231,1.333333333,3.777777778,1.740740741
AF-224,28.76,0.96,0.04,0.96,0,0,0,0.04,0,1.64,2.36,3.24,1.84,2.16,2.8,4.44,2.12,1.8,4.191489362,2.48,1.64,1.583333333,3.291666667,2.958333333
AF-225,22.14285714,1,0,0.965517241,0,0,0,0.034482759,0,2.482758621,2.142857143,3.034482759,2.793103448,2,1.931034483,4.655172414,2.034482759,1.655172414,3.565217391,3.275862069,1.586206897,1.551724138,3.535714286,1.75862069
AF-226,29.24,1,0,0.88,0,0,0.04,0.04,0.04,2.32,3.08,3.56,1.88,2.12,2.76,4.56,2,2.04,3.744680851,2.52,1.72,2.36,3.04,2.72
AF-227,27.11538462,0.961538462,0.038461538,0.461538462,0,0.192307692,0.307692308,0,0.038461538,1.769230769,1.88,3.92,2.576923077,1.769230769,2.384615385,5.115384615,3.269230769,1.653846154,2.106382979,2.12,1.846153846,1.653846154,4.038461538,2.230769231
AF-228,24.76923077,1,0,0.923076923,0,0,0.076923077,0,0,1.730769231,2,4.346153846,2.230769231,1.615384615,2.230769231,5.115384615,2.961538462,1.346153846,3.70212766,1.846153846,1.423076923,1.846153846,4.153846154,2.12
AF-229,25.85185185,1,0,0.846153846,0,0.076923077,0.076923077,0,0,1.666666667,1.740740741,4.37037037,2.518518519,1.37037037,2.296296296,4.925925926,2.777777778,1.333333333,2.659574468,1.925925926,1.518518519,1.518518519,3.962962963,2
AF-230,24.14814815,1,0,1,0,0,0,0,0,2.814814815,2.296296296,4.518518519,3.518518519,2.148148148,2.259259259,5.333333333,1.884615385,1.888888889,4,3.230769231,1.962962963,1.481481481,3.925925926,2.185185185
AF-231,46.58333333,1,0,0.875,0,0.041666667,0.083333333,0,0,1.625,2,2.347826087,1.166666667,2.208333333,2.083333333,3.25,1.625,1.666666667,2.978723404,3,1.333333333,1.5,3.333333333,1.666666667
